issuer,ticker,basket,country,sector,recognition_score,internal_rating,equity_ticker,cds_ticker
Tesla,TSLA,Global Communications and Digital Platforms,United States,Automotive and Technology,95,,,
Intel,INTC,Global Communications and Digital Platforms,United States,Technology,85,,,
AMD,AMD,Global Communications and Digital Platforms,United States,Technology,80,,,
Dell Technologies,DELL,Global Communications and Digital Platforms,United States,Technology,80,,,
Uber,UBER,Global Communications and Digital Platforms,United States,Technology and Mobility,95,,,
Netflix,NFLX,Global Communications and Digital Platforms,United States,Media and Entertainment,95,,,
Warner Bros. Discovery,WBD,Global Communications and Digital Platforms,United States,Media and Entertainment,75,,,
Paramount Global,PARA,Global Communications and Digital Platforms,United States,Media and Entertainment,70,,,
Comcast,CMCSA,Global Communications and Digital Platforms,United States,Media and Telecom,70,,,
Charter Communications,CHTR,Global Communications and Digital Platforms,United States,Media and Telecom,60,,,
T-Mobile US,TMUS,Global Communications and Digital Platforms,United States,Telecom,80,,,
AT&T,T,Global Communications and Digital Platforms,United States,Telecom,85,,,
AB InBev,ABIBB,Global Consumer and Leisure,Belgium,Beverages,85,,,
Kraft Heinz,KHC,Global Consumer and Leisure,United States,Consumer Staples,80,,,
Mondelez,MDLZ,Global Consumer and Leisure,United States,Consumer Staples,70,,,
Yum Brands,YUM,Global Consumer and Leisure,United States,Consumer Services,80,,,
Starbucks,SBUX,Global Consumer and Leisure,United States,Consumer Services,95,,,
Marriott International,MAR,Global Consumer and Leisure,United States,Hospitality,85,,,
Hilton Worldwide,HLT,Global Consumer and Leisure,United States,Hospitality,85,,,
Carnival,CCL,Global Consumer and Leisure,United States,Cruises and Leisure,80,,,
Royal Caribbean,RCL,Global Consumer and Leisure,United States,Cruises and Leisure,80,,,
Las Vegas Sands,LVS,Global Consumer and Leisure,United States,Gaming and Leisure,70,,,
Wynn Resorts,WYNN,Global Consumer and Leisure,United States,Gaming and Leisure,70,,,
Delta Air Lines,DAL,Global Consumer and Leisure,United States,Airlines,85,,,
Boeing,BA,"Global Industrials, Autos, and Aerospace",United States,Aerospace,90,,,
Ford,F,"Global Industrials, Autos, and Aerospace",United States,Automotive,90,,,
General Motors,GM,"Global Industrials, Autos, and Aerospace",United States,Automotive,85,,,
Stellantis,STLA,"Global Industrials, Autos, and Aerospace",Netherlands,Automotive,75,,,
Volkswagen,VW,"Global Industrials, Autos, and Aerospace",Germany,Automotive,90,,,
Mercedes-Benz Group,MBG,"Global Industrials, Autos, and Aerospace",Germany,Automotive,90,,,
Renault,RENAUL,"Global Industrials, Autos, and Aerospace",France,Automotive,75,,,
Nissan Motor,NSANY,"Global Industrials, Autos, and Aerospace",Japan,Automotive,80,,,
Hyundai Motor,HYNMTR,"Global Industrials, Autos, and Aerospace",South Korea,Automotive,80,,,
Airbus,AIRFP,"Global Industrials, Autos, and Aerospace",France,Aerospace,80,,,
Whirlpool,WHR,"Global Industrials, Autos, and Aerospace",United States,Consumer Durables,75,,,
Goodyear Tire and Rubber,GT,"Global Industrials, Autos, and Aerospace",United States,Automotive Components,75,,,
Occidental Petroleum,OXY,Global Energy and Materials,United States,Energy,70,,,
BP,BPLN,Global Energy and Materials,United Kingdom,Energy,85,,,
Shell,SHELL,Global Energy and Materials,United Kingdom,Energy,90,,,
TotalEnergies,TTEFP,Global Energy and Materials,France,Energy,75,,,
Repsol,REPSM,Global Energy and Materials,Spain,Energy,65,,,
Glencore,GLENLN,Global Energy and Materials,Switzerland,Materials and Mining,60,,,
ArcelorMittal,MTNA,Global Energy and Materials,Luxembourg,Steel and Mining,65,,,
Freeport-McMoRan,FCX,Global Energy and Materials,United States,Materials and Mining,60,,,
Newmont,NEM,Global Energy and Materials,United States,Materials and Mining,55,,,
Dow,DOW,Global Energy and Materials,United States,Chemicals,65,,,
LyondellBasell,LYB,Global Energy and Materials,United States,Chemicals,55,,,
Cleveland-Cliffs,CLF,Global Energy and Materials,United States,Steel,50,,,
Barclays,BACR,Global Financials,United Kingdom,Financials,80,,,
Deutsche Bank,DB,Global Financials,Germany,Financials,80,,,
Santander,SANTAN,Global Financials,Spain,Financials,90,,,
UniCredit,UCGIM,Global Financials,Italy,Financials,65,,,
Intesa Sanpaolo,ISPIM,Global Financials,Italy,Financials,60,,,
Societe Generale,SOCGEN,Global Financials,France,Financials,70,,,
Standard Chartered,STANLN,Global Financials,United Kingdom,Financials,60,,,
BBVA,BBVASM,Global Financials,Spain,Financials,75,,,
ING,INTNED,Global Financials,Netherlands,Financials,70,,,
NatWest Group,NWG,Global Financials,United Kingdom,Financials,60,,,
Lloyds Banking Group,LLOYDS,Global Financials,United Kingdom,Financials,65,,,
Ares Management,ARES,Global Financials,United States,Asset Management,50,,,
Bayer,BAYNGR,Global Healthcare and Pharma,Germany,Healthcare,85,,,
Teva Pharmaceutical,TEVA,Global Healthcare and Pharma,Israel,Healthcare,70,,,
CVS Health,CVS,Global Healthcare and Pharma,United States,Healthcare,80,,,
Walgreens Boots Alliance,WBA,Global Healthcare and Pharma,United States,Healthcare,75,,,
